season,week,team,off_clutch_epa,off_clutch_plays,def_clutch_epa,def_clutch_plays
2006,1,ATL,0.0,0.0,0.0,0.0
2006,1,CAR,0.0,0.0,0.0,0.0
2006,1,BAL,0.0,0.0,0.0,0.0
2006,1,TB,0.0,0.0,0.0,0.0
2006,1,NE,-2.30491143791005,10.0,0.0,0.0
2006,1,BUF,0.0,0.0,-2.30491143791005,10.0
2006,1,CHI,0.0,0.0,0.0,0.0
2006,1,GB,0.0,0.0,0.0,0.0
2006,1,KC,0.0,0.0,0.0,0.0
2006,1,CIN,0.0,0.0,0.0,0.0
2006,1,DAL,-2.7566255947415366,4.0,-0.3420640123076737,9.0
2006,1,JAX,-0.3420640123076737,9.0,-2.7566255947415366,4.0
2006,1,DEN,-2.733199619804509,8.0,-1.4367729242658243,6.0
2006,1,LA,-1.4367729242658243,6.0,-2.733199619804509,8.0
2006,1,IND,-0.21601575863314793,7.0,-3.525411043607164,10.0
2006,1,NYG,-3.525411043607164,10.0,-0.21601575863314793,7.0
2006,1,MIA,-8.296994645614177,1.0,-3.645912980020512,5.0
2006,1,PIT,-3.645912980020512,5.0,-8.296994645614177,1.0
2006,1,MIN,1.9210211429744959,11.0,-0.320333749987185,6.0
2006,1,WAS,-0.320333749987185,6.0,1.9210211429744959,11.0
2006,1,CLE,-3.338533699279651,6.0,-3.4497590840328485,9.0
2006,1,NO,-3.4497590840328485,9.0,-3.338533699279651,6.0
2006,1,NYJ,4.98954193573877,8.0,-0.7945716842077672,11.0
2006,1,TEN,-0.7945716842077672,11.0,4.98954193573877,8.0
2006,1,HOU,0.0,0.0,0.0,0.0
2006,1,PHI,0.0,0.0,0.0,0.0
2006,1,LV,0.0,0.0,0.0,0.0
2006,1,LAC,0.0,0.0,0.0,0.0
2006,1,SEA,2.0760182759258896,8.0,-3.728388968622312,5.0
2006,1,DET,-3.728388968622312,5.0,2.0760182759258896,8.0
2006,1,SF,-0.48141876931185834,4.0,-0.9538199923408683,8.0
2006,1,ARI,-0.9538199923408683,8.0,-0.48141876931185834,4.0
2006,2,SEA,0.0,0.0,0.0,0.0
2006,2,ARI,0.0,0.0,0.0,0.0
2006,2,MIA,0.0,0.0,0.0,0.0
2006,2,BUF,0.0,0.0,0.0,0.0
2006,2,MIN,-1.8740622770856135,12.0,-1.4915976749616675,6.0
2006,2,CAR,-1.4915976749616675,6.0,-1.8740622770856135,12.0
2006,2,CIN,0.0,0.0,0.0,0.0
2006,2,CLE,0.0,0.0,0.0,0.0
2006,2,CHI,0.0,0.0,0.0,0.0
2006,2,DET,0.0,0.0,0.0,0.0
2006,2,HOU,0.0,0.0,0.0,0.0
2006,2,IND,0.0,0.0,0.0,0.0
2006,2,DEN,-1.334812022279948,5.0,-1.681114715989679,11.0
2006,2,KC,-1.681114715989679,11.0,-1.334812022279948,5.0
2006,2,NE,-3.120273823151365,11.0,-0.08115342195378616,7.0
