recorded,game_id,season,week,home_team,away_team,home_prob,elo_prob,spread_line,home_qb_val,away_qb_val,home_n_out,away_n_out,temp,wind,home_score,away_score,home_win,correct
backfill-2015,2015_01_PIT_NE,2015,1,NE,PIT,0.6228,0.709,7.5,6.492,8.238,1.0,1.0,65.0,7.0,28.0,21.0,1.0,1.0
backfill-2015,2015_01_BAL_DEN,2015,1,DEN,BAL,0.6484,0.6006,4.5,-0.535,3.165,1.0,4.0,88.0,13.0,19.0,13.0,1.0,1.0
backfill-2015,2015_01_CAR_JAX,2015,1,JAX,CAR,0.3725,0.3282,-3.0,-7.477,-2.094,4.0,3.0,77.0,7.0,9.0,20.0,0.0,1.0
backfill-2015,2015_01_CIN_OAK,2015,1,LV,CIN,0.3132,0.3594,-3.0,-5.683,-1.455,1.0,1.0,73.0,9.0,13.0,33.0,0.0,1.0
backfill-2015,2015_01_CLE_NYJ,2015,1,NYJ,CLE,0.6181,0.5988,3.5,2.314,-1.883,1.0,1.0,77.0,8.0,31.0,10.0,1.0,1.0
backfill-2015,2015_01_DET_SD,2015,1,LAC,DET,0.5214,0.5514,3.5,-0.317,1.557,2.0,3.0,84.0,10.0,33.0,28.0,1.0,1.0
backfill-2015,2015_01_GB_CHI,2015,1,CHI,GB,0.2985,0.3211,-5.5,-1.706,9.008,2.0,0.0,72.0,11.0,23.0,31.0,0.0,1.0
backfill-2015,2015_01_IND_BUF,2015,1,BUF,IND,0.5869,0.5104,-1.0,-2.083,-0.681,2.0,2.0,56.0,15.0,27.0,14.0,1.0,1.0
backfill-2015,2015_01_KC_HOU,2015,1,HOU,KC,0.5132,0.5237,-1.0,-2.985,3.137,5.0,0.0,,,20.0,27.0,0.0,0.0
backfill-2015,2015_01_MIA_WAS,2015,1,WAS,MIA,0.3312,0.4136,-4.0,-0.701,0.613,0.0,1.0,69.0,10.0,10.0,17.0,0.0,1.0
backfill-2015,2015_01_NO_ARI,2015,1,ARI,NO,0.6528,0.6454,2.0,3.641,4.363,1.0,5.0,,,31.0,19.0,1.0,1.0
backfill-2015,2015_01_NYG_DAL,2015,1,DAL,NYG,0.6563,0.7199,7.0,6.573,4.108,0.0,2.0,,,27.0,26.0,1.0,1.0
backfill-2015,2015_01_SEA_STL,2015,1,LA,SEA,0.3596,0.3002,-3.5,0.375,2.946,1.0,1.0,,,34.0,31.0,1.0,0.0
backfill-2015,2015_01_TEN_TB,2015,1,TB,TEN,0.6509,0.6258,3.0,0.0,0.0,1.0,2.0,84.0,8.0,14.0,42.0,0.0,0.0
backfill-2015,2015_01_MIN_SF,2015,1,SF,MIN,0.6233,0.6412,-2.5,-2.836,1.191,0.0,0.0,70.0,5.0,20.0,3.0,1.0,1.0
backfill-2015,2015_01_PHI_ATL,2015,1,ATL,PHI,0.5078,0.4558,-3.5,3.134,-0.493,2.0,0.0,,,26.0,24.0,1.0,1.0
backfill-2015,2015_02_DEN_KC,2015,2,KC,DEN,0.5581,0.5074,3.0,2.609,-1.209,0.0,2.0,87.0,13.0,24.0,31.0,0.0,0.0
backfill-2015,2015_02_ARI_CHI,2015,2,CHI,ARI,0.3446,0.3629,-2.0,-2.683,3.518,2.0,2.0,70.0,6.0,23.0,48.0,0.0,1.0
