season,season_type,bucket,qb_id,qb,team,games,n,epa,epa2,succ,cpoe,cpoe_n,sacks,ints,tds,att,comp
2021,POST,all,00-0036442,J.Burrow,CIN,4,166,9.116855078255027,376.0803148841214,76.0,419.9729114770889,135,19.0,2.0,5.0,161.0,97.0
2021,POST,all,00-0026498,M.Stafford,LA,4,152,45.500369088190425,418.7892734066926,83.0,913.2455691695213,134,7.0,3.0,9.0,146.0,98.0
2021,POST,all,00-0033873,P.Mahomes,KC,3,144,42.5913107462144,392.28687443125216,81.0,732.0080161094666,116,9.0,3.0,11.0,131.0,89.0
2021,POST,all,00-0019596,T.Brady,TB,2,98,-5.729117064843702,213.6526845127383,39.0,-221.45885825157166,89,7.0,1.0,3.0,98.0,59.0
2021,POST,all,00-0031345,J.Garoppolo,SF,3,79,-2.1053813333443347,223.22541908256835,34.0,-821.1449056863785,72,4.0,3.0,2.0,77.0,43.0
2021,POST,all,00-0034857,J.Allen,BUF,2,69,46.85086930524278,182.07513460311336,40.0,666.3005128502846,62,2.0,0.0,9.0,65.0,48.0
2021,POST,all,00-0031280,D.Carr,LV,1,57,2.7231342113602737,123.46546812415733,23.0,-298.9577919244766,49,3.0,1.0,1.0,56.0,29.0
2021,POST,all,00-0033077,D.Prescott,DAL,1,50,-11.172714276024426,95.4972016285314,18.0,-387.6513808965683,41,5.0,1.0,1.0,47.0,23.0
2021,POST,all,00-0036389,J.Hurts,PHI,1,47,-5.281215326642152,110.03248556418761,16.0,-324.1613119840622,43,2.0,2.0,1.0,46.0,23.0
2021,POST,all,00-0022924,B.Roethlisberger,PIT,1,46,-8.250660341640469,88.71787928930107,19.0,-17.499911785125732,44,2.0,0.0,2.0,46.0,29.0
2021,POST,all,00-0036972,M.Jones,NE,1,42,5.051269973948365,163.33295018290323,17.0,167.04242825508118,35,3.0,2.0,2.0,40.0,24.0
2021,POST,all,00-0035228,K.Murray,ARI,1,37,-18.67457712709438,104.83409511424564,13.0,-520.0422316789627,34,2.0,2.0,0.0,36.0,19.0
2021,POST,all,00-0023459,A.Rodgers,GB,1,33,-6.246037495021843,79.07212722578906,11.0,90.56532084941864,27,5.0,0.0,0.0,33.0,20.0
2021,POST,all,00-0029701,R.Tannehill,TEN,1,27,-5.9467167496175195,105.00856778764269,11.0,-6.528818607330322,24,1.0,3.0,1.0,25.0,15.0
2021,POST,all,00-0028872,J.Hekker,LA,1,1,-0.947,0.8968089999999999,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
2021,POST,all,00-0029692,B.Anger,DAL,1,1,3.856170532060787,14.870051172333973,1.0,35.11138558387756,1,0.0,0.0,0.0,1.0,1.0
2021,POST,all,00-0030506,T.Kelce,KC,1,1,0.70204556841054,0.4928679801248782,1.0,42.53831505775452,1,0.0,0.0,1.0,1.0,1.0
2021,POST,all,00-0031235,O.Beckham,LA,1,1,2.278346930164844,5.1908647341915675,1.0,63.504037261009216,1,0.0,0.0,0.0,1.0,1.0
2021,POST,all,00-0033897,J.Mixon,CIN,1,1,1.8504547015181743,3.4241826023707156,1.0,54.363664984703064,1,0.0,0.0,1.0,1.0,1.0
2021,POST,all,00-0033908,C.Kupp,LA,1,1,-1.5157049462529928,2.297361484095788,0.0,-69.08655762672424,1,0.0,0.0,0.0,1.0,0.0
2021,POST,close,00-0036442,J.Burrow,CIN,4,140,3.897765631480576,314.6741554405481,64.0,359.99875664711,113,17.0,2.0,4.0,135.0,81.0
2021,POST,close,00-0033873,P.Mahomes,KC,3,113,32.86453192684315,307.8981733198432,63.0,358.7844640016556,90,7.0,3.0,8.0,101.0,67.0
2021,POST,close,00-0026498,M.Stafford,LA,4,109,37.56794378038649,320.7500230282338,60.0,624.5742097496986,96,7.0,3.0,7.0,107.0,69.0
2021,POST,close,00-0031345,J.Garoppolo,SF,3,68,1.3452688066002931,164.30041243572464,29.0,-668.6474442481995,61,4.0,2.0,2.0,66.0,37.0
2021,POST,close,00-0034857,J.Allen,BUF,2,53,22.445602841136978,101.82920142326955,27.0,218.1358888745308,48,2.0,0.0,5.0,51.0,35.0
2021,POST,close,00-0023459,A.Rodgers,GB,1,33,-6.246037495021843,79.07212722578906,11.0,90.56532084941864,27,5.0,0.0,0.0,33.0,20.0
2021,POST,close,00-0019596,T.Brady,TB,2,24,-0.7008862760558259,22.496264703674157,10.0,-258.06240141391754,24,0.0,0.0,0.0,24.0,14.0
2021,POST,close,00-0029701,R.Tannehill,TEN,1,23,-0.9409357710392214,61.18243965580986,10.0,31.584036350250244,20,1.0,2.0,1.0,21.0,13.0
2021,POST,close,00-0031280,D.Carr,LV,1,21,-5.354306221385604,65.84615945125748,8.0,-90.22800028324127,17,3.0,1.0,0.0,21.0,10.0
2021,POST,close,00-0022924,B.Roethlisberger,PIT,1,15,-10.310040121548809,20.81521766838296,3.0,-358.60495269298553,14,1.0,0.0,0.0,15.0,5.0
2021,POST,close,00-0033077,D.Prescott,DAL,1,11,-4.110197040485218,19.53687883343474,4.0,-111.52706891298294,8,2.0,0.0,0.0,11.0,4.0
2021,POST,close,00-0036972,M.Jones,NE,1,7,0.6457968689501286,43.064131660280445,3.0,-103.44192385673523,6,0.0,1.0,0.0,6.0,2.0
2021,POST,close,00-0035228,K.Murray,ARI,1,6,-6.682989651337266,8.95430827543695,0.0,-121.07250690460205,5,1.0,0.0,0.0,6.0,2.0
2021,POST,close,00-0036389,J.Hurts,PHI,1,3,-1.8624253547750413,1.9598261003585837,0.0,-32.70047903060913,3,0.0,0.0,0.0,3.0,2.0
2021,POST,close,00-0033908,C.Kupp,LA,1,1,-1.5157049462529928,2.297361484095788,0.0,-69.08655762672424,1,0.0,0.0,0.0,1.0,0.0
2021,POST,clutch,00-0026498,M.Stafford,LA,3,16,5.467000567141129,17.120064463027703,10.0,132.43919909000397,14,2.0,0.0,1.0,16.0,11.0
2021,POST,clutch,00-0033873,P.Mahomes,KC,2,14,8.550655655257795,46.612512861203015,8.0,9.043294191360474,10,2.0,0.0,1.0,12.0,7.0
2021,POST,clutch,00-0034857,J.Allen,BUF,1,13,13.128558572716546,55.08142158341468,8.0,76.89770013093948,11,0.0,0.0,2.0,12.0,7.0
2021,POST,clutch,00-0031280,D.Carr,LV,1,10,-0.7855904659954831,21.251509406487884,3.0,-241.9604867696762,9,1.0,1.0,0.0,10.0,3.0
2021,POST,clutch,00-0033077,D.Prescott,DAL,1,9,-1.8425657183397561,16.39999535449427,4.0,-111.52706891298294,8,1.0,0.0,0.0,9.0,4.0
2021,POST,clutch,00-0036442,J.Burrow,CIN,3,8,-0.9852403304539621,5.643490337526543,3.0,38.97942304611206,7,1.0,0.0,0.0,8.0,5.0
2021,POST,clutch,00-0031345,J.Garoppolo,SF,3,7,-5.329866513318848,23.811560408852543,2.0,-164.12798166275024,7,0.0,1.0,0.0,7.0,4.0
2021,POST,clutch,00-0019596,T.Brady,TB,1,4,-1.0907944015052635,0.5845781056492471,1.0,-27.351826429367065,4,0.0,0.0,0.0,4.0,2.0
2021,POST,clutch,00-0023459,A.Rodgers,GB,1,3,-1.546541455667466,0.9941393070191407,0.0,-90.3646469116211,3,0.0,0.0,0.0,3.0,1.0
2021,POST,clutch,00-0029701,R.Tannehill,TEN,1,3,-0.8027013705577701,3.6184874106219507,1.0,-7.482314109802246,3,0.0,1.0,0.0,3.0,2.0
2021,POST,late,00-0026498,M.Stafford,LA,4,18,3.751708189801201,18.79754045378806,10.0,147.596475481987,15,2.0,0.0,1.0,17.0,12.0
2021,POST,late,00-0031280,D.Carr,LV,1,17,0.42007230307831245,38.99698194183553,6.0,-275.3777176141739,15,1.0,1.0,0.0,17.0,6.0
2021,POST,late,00-0033873,P.Mahomes,KC,3,15,6.177973362486735,52.242134123632354,8.0,9.043294191360474,10,3.0,0.0,1.0,13.0,7.0
2021,POST,late,00-0034857,J.Allen,BUF,1,13,13.128558572716546,55.08142158341468,8.0,76.89770013093948,11,0.0,0.0,2.0,12.0,7.0
2021,POST,late,00-0022924,B.Roethlisberger,PIT,1,11,-1.6316596427350305,12.049217599969301,6.0,59.83800292015076,10,1.0,0.0,0.0,11.0,8.0
2021,POST,late,00-0019596,T.Brady,TB,2,10,1.8311134323303122,42.39555030427878,4.0,102.67703235149384,10,0.0,0.0,1.0,10.0,7.0
2021,POST,late,00-0033077,D.Prescott,DAL,1,9,-1.8425657183397561,16.39999535449427,4.0,-111.52706891298294,8,1.0,0.0,0.0,9.0,4.0
2021,POST,late,00-0036442,J.Burrow,CIN,3,8,-0.9852403304539621,5.643490337526543,3.0,38.97942304611206,7,1.0,0.0,0.0,8.0,5.0
2021,POST,late,00-0031345,J.Garoppolo,SF,3,7,-5.329866513318848,23.811560408852543,2.0,-164.12798166275024,7,0.0,1.0,0.0,7.0,4.0
2021,POST,late,00-0036389,J.Hurts,PHI,1,7,3.10085093764076,10.947891390767882,4.0,-35.18374711275101,5,1.0,0.0,1.0,7.0,2.0
2021,POST,late,00-0035228,K.Murray,ARI,1,5,-3.8072986591723748,8.84988791263265,1.0,-129.90767657756805,5,0.0,0.0,0.0,5.0,2.0
2021,POST,late,00-0036972,M.Jones,NE,1,4,3.2755974593164865,23.841733921825934,2.0,2.0253390073776245,4,0.0,0.0,1.0,4.0,2.0
2021,POST,late,00-0023459,A.Rodgers,GB,1,3,-1.546541455667466,0.9941393070191407,0.0,-90.3646469116211,3,0.0,0.0,0.0,3.0,1.0
2021,POST,late,00-0029701,R.Tannehill,TEN,1,3,-0.8027013705577701,3.6184874106219507,1.0,-7.482314109802246,3,0.0,1.0,0.0,3.0,2.0
2021,POST,ot,00-0033873,P.Mahomes,KC,2,9,2.970393905416131,15.673624247725549,5.0,-11.158883571624756,9,0.0,1.0,1.0,9.0,6.0
2021,POST,ot,00-0036442,J.Burrow,CIN,1,2,1.8527160356752574,1.7553360576370862,2.0,60.65459847450256,2,0.0,0.0,0.0,2.0,2.0
2021,POST,q1,00-0036442,J.Burrow,CIN,4,39,1.2250468242252572,85.08754024388058,14.0,-255.90560734272003,34,3.0,0.0,1.0,38.0,20.0
2021,POST,q1,00-0026498,M.Stafford,LA,4,35,10.086261071312382,95.01273151348502,21.0,428.10167372226715,32,2.0,1.0,3.0,34.0,26.0
2021,POST,q1,00-0033873,P.Mahomes,KC,3,28,4.139493006921839,88.84607979087828,15.0,-21.36477828025818,22,0.0,1.0,1.0,23.0,15.0
2021,POST,q1,00-0019596,T.Brady,TB,2,24,1.2467539716960725,28.310559328504525,11.0,-243.40887367725372,24,0.0,0.0,0.0,24.0,15.0
2021,POST,q1,00-0034857,J.Allen,BUF,2,23,7.491773477813695,24.512756530709282,10.0,92.28661954402924,22,0.0,0.0,2.0,22.0,17.0
2021,POST,q1,00-0031345,J.Garoppolo,SF,3,18,-4.21926353769885,36.8651185870051,8.0,-220.87555527687073,16,2.0,0.0,0.0,18.0,9.0
2021,POST,q1,00-0023459,A.Rodgers,GB,1,11,-2.0710455833468586,39.21885162097864,6.0,-33.44813585281372,11,0.0,0.0,0.0,11.0,8.0
2021,POST,q1,00-0031280,D.Carr,LV,1,10,-2.6463786477969276,40.899270089539826,5.0,151.73248648643494,8,1.0,0.0,0.0,10.0,7.0
2021,POST,q1,00-0022924,B.Roethlisberger,PIT,1,9,-7.392971750814468,14.29681225062811,1.0,-217.81156361103058,8,1.0,0.0,0.0,9.0,3.0
