season,season_type,bucket,team,n,epa,succ,sacks,ints
2021,POST,all,ARI,22,15.09746013034529,12.0,1.0,0.0
2021,POST,all,BUF,95,32.68983218392485,48.0,5.0,2.0
2021,POST,all,CIN,175,-4.854692550648902,80.0,10.0,8.0
2021,POST,all,DAL,26,-0.32043623314448944,13.0,0.0,1.0
2021,POST,all,GB,23,-7.507692491535707,7.0,4.0,1.0
2021,POST,all,KC,130,20.97623072842402,61.0,5.0,1.0
2021,POST,all,LA,166,-30.848756125840904,62.0,12.0,4.0
2021,POST,all,LV,36,10.013772191553588,18.0,2.0,0.0
2021,POST,all,NE,28,26.365956274734344,19.0,0.0,0.0
2021,POST,all,PHI,41,8.226544965945209,21.0,4.0,0.0
2021,POST,all,PIT,46,21.11595468406449,26.0,3.0,1.0
2021,POST,all,SF,132,1.7485295144110395,57.0,12.0,2.0
2021,POST,all,TB,87,5.796174294693932,40.0,4.0,2.0
2021,POST,all,TEN,46,-3.8471760920429663,21.0,9.0,1.0
2021,POST,close,ARI,7,7.017651416826993,5.0,1.0,0.0
2021,POST,close,BUF,60,28.28435907892661,34.0,2.0,1.0
2021,POST,close,CIN,117,-4.9316950582046575,56.0,10.0,7.0
2021,POST,close,DAL,15,3.1302139068001384,8.0,0.0,0.0
2021,POST,close,GB,23,-7.507692491535707,7.0,4.0,1.0
2021,POST,close,KC,82,5.94068793076706,36.0,3.0,1.0
2021,POST,close,LA,80,-15.3111604065341,27.0,8.0,1.0
2021,POST,close,LV,33,13.011689603868152,18.0,1.0,0.0
2021,POST,close,NE,13,8.050176874327008,7.0,0.0,0.0
2021,POST,close,PHI,16,4.984390578989405,9.0,0.0,0.0
2021,POST,close,PIT,31,8.63947334967088,15.0,1.0,1.0
2021,POST,close,SF,87,-1.5875175021208356,37.0,9.0,1.0
2021,POST,close,TB,19,13.62639446212086,12.0,2.0,0.0
2021,POST,close,TEN,44,-2.303584766406013,21.0,9.0,1.0
2021,POST,clutch,BUF,7,8.168866954827902,4.0,0.0,0.0
2021,POST,clutch,CIN,29,1.1484168815260585,13.0,3.0,2.0
2021,POST,clutch,DAL,2,-1.5841758325695992,0.0,0.0,0.0
2021,POST,clutch,GB,2,1.5872078043757938,2.0,0.0,0.0
2021,POST,clutch,KC,13,13.128558572716546,8.0,0.0,0.0
2021,POST,clutch,LA,11,-6.24544450189569,3.0,0.0,1.0
2021,POST,clutch,LV,1,-0.3044097409583628,0.0,0.0,0.0
2021,POST,clutch,SF,16,-2.2347742896330067,7.0,2.0,0.0
2021,POST,clutch,TB,3,1.9577476651174948,2.0,1.0,0.0
2021,POST,clutch,TEN,3,-0.859078974230215,1.0,1.0,0.0
2021,POST,late,ARI,1,-0.5364281779045903,0.0,0.0,0.0
2021,POST,late,BUF,11,11.444464414144388,6.0,0.0,0.0
2021,POST,late,CIN,36,2.354079650599854,16.0,3.0,2.0
2021,POST,late,DAL,2,-1.5841758325695992,0.0,0.0,0.0
2021,POST,late,GB,2,1.5872078043757938,2.0,0.0,0.0
2021,POST,late,KC,24,11.496898929981516,14.0,1.0,0.0
2021,POST,late,LA,21,-8.195674138754839,6.0,0.0,1.0
2021,POST,late,LV,1,-0.3044097409583628,0.0,0.0,0.0
2021,POST,late,PHI,1,1.0648388115223497,1.0,0.0,0.0
2021,POST,late,PIT,1,-2.37268229277106,0.0,1.0,0.0
2021,POST,late,SF,16,-2.2347742896330067,7.0,2.0,0.0
2021,POST,late,TB,11,3.8797344033229164,6.0,2.0,0.0
2021,POST,late,TEN,3,-0.859078974230215,1.0,1.0,0.0
2021,POST,ot,BUF,6,6.352743181865662,5.0,0.0,0.0
2021,POST,ot,CIN,3,-3.3823492764495313,0.0,0.0,1.0
2021,POST,ot,KC,2,1.8527160356752574,2.0,0.0,0.0
2021,POST,q1,ARI,6,3.889472276205197,4.0,1.0,0.0
