season,season_type,team,player_id,qb,rank,qbr,plays,pts_added,epa_total
2021,Playoffs,BUF,3918298,Josh Allen,1.0,95.5,83,18.5,23.8
2021,Playoffs,KC,3139477,Patrick Mahomes,2.0,82.6,150,14.8,27.8
2021,Playoffs,LA,12483,Matthew Stafford,3.0,71.4,171,11.1,24.9
2021,Playoffs,NE,4241464,Mac Jones,4.0,60.0,46,-1.0,1.8
2021,Playoffs,SF,16760,Jimmy Garoppolo,5.0,57.8,92,-0.5,8.1
2021,Playoffs,CIN,3915511,Joe Burrow,6.0,51.0,177,-0.6,16.3
2021,Playoffs,LV,16757,Derek Carr,7.0,46.4,62,-1.5,4.3
2021,Playoffs,DAL,2577417,Dak Prescott,8.0,32.4,56,-2.7,2.6
2021,Playoffs,TB,2330,Tom Brady,9.0,30.4,100,-6.3,2.6
2021,Playoffs,PHI,4040715,Jalen Hurts,10.0,24.0,55,-4.7,0.4
2021,Playoffs,GB,8439,Aaron Rodgers,11.0,22.6,36,-3.0,0.5
2021,Playoffs,PIT,5536,Ben Roethlisberger,12.0,15.7,49,-5.2,-0.2
2021,Playoffs,TEN,14876,Ryan Tannehill,13.0,12.8,29,-3.8,-0.9
2021,Playoffs,ARI,3917315,Kyler Murray,14.0,9.9,42,-8.1,-2.4
2021,Playoffs,CIN,3116385,Joe Mixon,,100.0,1,0.9,0.9
2021,Playoffs,LA,16733,Odell Beckham Jr.,,100.0,1,0.6,0.4
2021,Playoffs,ARI,3119195,Chase Edmonds,,97.4,1,0.2,0.2
2021,Playoffs,TEN,3043078,Derrick Henry,,95.3,1,0.2,0.3
2021,Playoffs,KC,15847,Travis Kelce,,85.2,1,0.1,0.1
2021,Playoffs,GB,4039396,Corey Bojorquez,,14.0,1,-0.1,0.0
2021,Playoffs,LV,2576980,Marcus Mariota,,8.5,1,-0.2,-0.1
2021,Playoffs,LA,2977187,Cooper Kupp,,0.2,1,-0.4,-0.3
2021,Playoffs,KC,4035004,Mecole Hardman Jr.,,0.0,1,-1.8,-1.7
2021,Regular,GB,8439,Aaron Rodgers,1.0,74.1,610,43.3,95.8
2021,Regular,TB,2330,Tom Brady,2.0,73.1,798,53.8,118.5
2021,Regular,LAC,4038941,Justin Herbert,3.0,70.9,808,53.8,120.3
2021,Regular,LA,12483,Matthew Stafford,4.0,69.2,686,40.1,92.7
2021,Regular,KC,3139477,Patrick Mahomes,5.0,67.7,803,43.9,108.3
2021,Regular,BUF,3918298,Josh Allen,6.0,66.3,828,42.4,110.8
2021,Regular,ARI,3917315,Kyler Murray,7.0,63.2,632,21.0,74.1
2021,Regular,TEN,14876,Ryan Tannehill,8.0,61.8,680,22.5,80.8
2021,Regular,IND,2573079,Carson Wentz,9.5,60.6,648,19.5,74.3
2021,Regular,SEA,14881,Russell Wilson,9.5,60.6,500,12.1,55.4
2021,Regular,DAL,2577417,Dak Prescott,11.0,60.5,721,27.5,85.8
2021,Regular,CIN,3915511,Joe Burrow,12.0,60.2,642,25.1,79.4
2021,Regular,SF,16760,Jimmy Garoppolo,13.0,59.2,530,12.0,57.8
2021,Regular,LV,16757,Derek Carr,14.0,58.4,747,21.0,83.9
2021,Regular,MIN,14880,Kirk Cousins,15.0,58.3,650,14.3,74.0
2021,Regular,NE,4241464,Mac Jones,16.0,56.9,631,11.4,62.9
2021,Regular,BAL,3916387,Lamar Jackson,17.0,56.8,574,11.1,62.7
2021,Regular,MIA,4241479,Tua Tagovailoa,18.0,55.7,471,9.6,51.8
2021,Regular,PHI,4040715,Jalen Hurts,19.0,54.6,622,14.9,65.7
2021,Regular,DEN,16728,Teddy Bridgewater,20.0,53.4,519,10.1,52.5
2021,Regular,ATL,11237,Matt Ryan,21.0,52.2,684,6.0,64.9
2021,Regular,NYG,3917792,Daniel Jones,22.0,47.5,472,0.7,41.7
2021,Regular,WAS,2565969,Taylor Heinicke,23.0,45.8,624,-4.5,50.9
2021,Regular,DET,3046779,Jared Goff,24.0,45.5,587,-11.1,37.4
2021,Regular,PIT,5536,Ben Roethlisberger,25.0,41.3,705,-19.2,42.5
2021,Regular,HOU,4242546,Davis Mills,26.0,41.2,471,-12.9,25.9
2021,Regular,CLE,3052587,Baker Mayfield,27.0,40.9,529,-14.2,34.4
2021,Regular,JAX,4360310,Trevor Lawrence,28.0,39.1,758,-27.1,37.9
2021,Regular,CAR,3912547,Sam Darnold,29.0,38.8,508,-17.8,27.2
2021,Regular,NYJ,4361259,Zach Wilson,30.0,33.4,472,-24.4,17.9
2021,Regular,CHI,4362887,Justin Fields,31.0,31.4,397,-22.4,13.7
2021,Regular,NE,3045523,Kendrick Bourne,,100.0,1,0.9,1.0
2021,Regular,DET,3126997,Tom Kennedy,,100.0,1,1.0,1.0
2021,Regular,BUF,3128724,Isaiah McKenzie,,100.0,1,0.8,0.5
2021,Regular,DEN,3700815,Kendall Hinton,,100.0,1,1.0,1.1
2021,Regular,ARI,3895856,Christian Kirk,,100.0,1,1.0,1.1
2021,Regular,DEN,3128429,Courtland Sutton,,100.0,1,0.6,0.7
2021,Regular,DAL,4036335,Cedrick Wilson Jr.,,99.9,3,1.6,1.6
2021,Regular,BUF,3930086,Dawson Knox,,99.9,1,0.5,0.6
2021,Regular,TEN,3125116,D'Onta Foreman,,99.9,2,0.9,0.9
2021,Regular,CAR,3117251,Christian McCaffrey,,99.3,2,0.7,0.8
2021,Regular,SF,3126486,Deebo Samuel,,99.0,2,0.6,0.8
2021,Regular,CIN,3045144,Tyler Boyd,,99.0,1,0.3,0.4
2021,Regular,DAL,3916148,Tony Pollard,,98.9,4,1.3,1.4
2021,Regular,CAR,3915416,DJ Moore,,98.2,1,0.3,0.3
