season,team,win_total,actual_wins,result
2010,ARI,7.5,5,U
2010,ATL,9.5,13,O
2010,BAL,10.0,12,O
2010,BUF,5.0,4,U
2010,CAR,7.0,2,U
2010,CHI,8.0,11,O
2010,CIN,8.0,4,U
2010,CLE,5.5,5,U
2010,DAL,10.0,6,U
2010,DEN,7.0,4,U
2010,DET,5.0,6,O
2010,GB,9.5,10,O
2010,HOU,8.5,6,U
2010,IND,10.5,10,U
2010,JAX,7.0,8,O
2010,KC,6.5,10,O
2010,LA,4.5,7,O
2010,LAC,10.5,9,U
2010,LV,6.0,8,O
2010,MIA,8.5,7,U
2010,MIN,9.5,6,U
2010,NE,9.5,14,O
2010,NO,10.5,11,O
2010,NYG,9.0,10,O
2010,NYJ,9.5,11,O
2010,PHI,8.5,10,O
2010,PIT,8.5,12,O
2010,SEA,7.0,7,P
2010,SF,9.0,6,U
2010,TB,6.0,10,O
2010,TEN,8.0,6,U
2010,WAS,7.5,6,U
2011,ARI,7.0,8,O
2011,ATL,10.0,10,P
2011,BAL,10.5,12,O
2011,BUF,5.5,6,O
2011,CAR,4.5,6,O
2011,CHI,8.5,8,U
2011,CIN,5.5,9,O
2011,CLE,6.5,4,U
2011,DAL,9.0,8,U
2011,DEN,6.0,8,O
2011,DET,8.0,10,O
2011,GB,11.5,15,O
2011,HOU,9.0,10,O
2011,JAX,6.5,5,U
2011,KC,7.5,7,U
2011,LA,7.5,2,U
2011,LAC,11.0,8,U
2011,LV,6.5,8,O
2011,MIA,7.5,6,U
2011,MIN,7.0,3,U
2011,NE,11.5,13,O
2011,NO,10.0,13,O
2011,NYG,9.5,9,U
2011,NYJ,10.0,8,U
2011,PHI,10.5,8,U
2011,PIT,10.5,12,O
2011,SEA,6.0,7,O
2011,SF,7.5,13,O
2011,TB,8.0,4,U
2011,TEN,6.5,9,O
2011,WAS,6.0,5,U
2012,ARI,7.0,5,U
2012,ATL,9.0,13,O
2012,BAL,10.0,10,P
2012,BUF,8.0,6,U
2012,CAR,7.5,7,U
2012,CHI,9.5,10,O
2012,CIN,8.0,10,O
2012,CLE,5.5,5,U
2012,DAL,8.5,8,U
2012,DEN,8.5,13,O
2012,DET,9.0,4,U
2012,GB,12.0,11,U
2012,HOU,10.0,12,O
2012,IND,5.5,11,O
2012,JAX,5.5,2,U
2012,KC,8.0,2,U
2012,LA,6.0,7,O
2012,LAC,9.0,7,U
2012,LV,7.0,4,U
2012,MIA,7.0,7,P
2012,MIN,6.0,10,O
2012,NE,12.0,12,P
2012,NO,9.5,7,U
2012,NYG,9.0,9,P
2012,NYJ,8.5,6,U
2012,PHI,10.0,4,U
2012,PIT,10.0,8,U
2012,SEA,7.5,11,O
2012,SF,10.0,11,O
2012,TB,6.0,7,O
2012,TEN,7.0,6,U
2012,WAS,6.5,10,O
2013,ARI,5.5,10,O
2013,ATL,10.0,4,U
2013,BAL,8.5,8,U
2013,BUF,6.5,6,U
2013,CAR,7.0,12,O
2013,CHI,8.5,8,U
2013,CIN,8.5,11,O
2013,CLE,6.0,4,U
2013,DAL,8.5,8,U
2013,DEN,11.5,13,O
2013,DET,8.0,7,U
2013,GB,10.5,8,U
2013,HOU,10.0,2,U
2013,IND,8.5,11,O
2013,JAX,5.0,4,U
2013,KC,7.5,11,O
2013,LA,7.5,7,U
2013,LAC,7.5,9,O
2013,LV,5.5,4,U
2013,MIA,8.0,8,P
2013,MIN,7.5,5,U
2013,NE,11.0,12,O
2013,NO,9.5,11,O
2013,NYG,9.0,7,U
2013,NYJ,6.5,8,O
2013,PHI,7.5,10,O
2013,PIT,9.0,8,U
2013,SEA,10.5,13,O
2013,SF,11.5,12,O
2013,TB,7.5,4,U
2013,TEN,6.5,7,O
2013,WAS,8.0,3,U
2014,ARI,7.5,11,O
2014,ATL,8.5,6,U
2014,BAL,8.5,10,O
2014,BUF,6.5,9,O
2014,CAR,8.0,7,U
2014,CHI,8.5,5,U
2014,CIN,9.0,10,O
2014,CLE,6.5,7,O
2014,DAL,8.0,12,O
2014,DEN,11.5,12,O
2014,DET,8.5,11,O
2014,GB,10.5,12,O
2014,HOU,7.5,9,O
2014,IND,9.5,11,O
2014,JAX,5.0,3,U
2014,KC,8.0,9,O
2014,LA,7.0,6,U
2014,LAC,8.0,9,O
2014,LV,5.0,3,U
2014,MIA,8.0,8,P
2014,MIN,6.0,7,O
2014,NE,10.5,12,O
2014,NO,10.0,7,U
2014,NYG,8.0,6,U
2014,NYJ,7.0,4,U
2014,PHI,9.0,10,O
2014,PIT,8.5,11,O
2014,SEA,11.0,12,O
2014,SF,10.5,8,U
2014,TB,7.0,2,U
2014,TEN,7.0,2,U
2014,WAS,7.5,4,U
2015,ARI,8.5,13,O
2015,ATL,8.5,8,U
2015,BAL,9.0,5,U
2015,BUF,8.5,8,U
2015,CAR,8.5,15,O
2015,CHI,6.5,6,U
2015,CIN,8.5,12,O
2015,CLE,6.5,3,U
2015,DAL,9.5,4,U
2015,DEN,10.0,12,O
2015,DET,8.5,7,U
2015,GB,11.0,10,U
2015,HOU,8.5,9,O
2015,IND,10.5,8,U
2015,JAX,5.5,5,U
2015,KC,8.5,11,O
2015,LA,7.5,7,U
2015,LAC,8.0,4,U
2015,LV,5.5,7,O
2015,MIA,9.0,6,U
2015,MIN,8.0,11,O
2015,NE,10.5,12,O
2015,NO,8.5,7,U
2015,NYG,8.0,6,U
2015,NYJ,7.5,10,O
2015,PHI,10.0,7,U
2015,PIT,8.5,10,O
2015,SEA,11.0,10,U
2015,SF,6.5,5,U
2015,TB,6.0,6,P
2015,TEN,5.5,3,U
2015,WAS,6.0,9,O
2016,ARI,10.0,7,U
2016,ATL,7.0,11,O
2016,BAL,8.5,8,U
2016,BUF,8.0,7,U
2016,CAR,10.5,6,U
2016,CHI,7.5,3,U
2016,CIN,9.5,6,U
2016,CLE,4.5,1,U
2016,DAL,8.5,13,O
2016,DEN,9.5,9,U
2016,DET,7.0,9,O
2016,GB,10.5,10,U
2016,HOU,8.5,9,O
2016,IND,9.0,8,U
2016,JAX,7.5,3,U
2016,KC,9.5,12,O
2016,LA,7.5,4,U
2016,LAC,7.0,5,U
2016,LV,8.5,12,O
2016,MIA,7.0,10,O
2016,MIN,8.5,8,U
2016,NE,10.5,14,O
2016,NO,7.0,7,P
2016,NYG,8.5,11,O
2016,NYJ,8.0,5,U
2016,PHI,6.5,7,O
2016,PIT,10.5,11,O
2016,SEA,10.5,10,U
2016,SF,5.5,2,U
2016,TB,7.0,9,O
2016,TEN,6.0,9,O
2016,WAS,7.5,8,O
2017,ARI,8.5,8,U
2017,ATL,9.5,10,O
2017,BAL,8.5,9,O
2017,BUF,6.5,9,O
2017,CAR,9.0,11,O
2017,CHI,5.5,5,U
2017,CIN,8.5,7,U
2017,CLE,4.5,0,U
2017,DAL,9.5,9,U
2017,DEN,8.0,5,U
2017,DET,7.5,9,O
2017,GB,10.5,7,U
2017,HOU,8.5,4,U
2017,IND,8.0,4,U
2017,JAX,6.5,10,O
2017,KC,9.0,10,O
2017,LA,6.0,11,O
2017,LAC,7.5,9,O
2017,LV,9.5,6,U
2017,MIA,7.0,6,U
2017,MIN,8.5,13,O
2017,NE,12.5,13,O
2017,NO,8.0,11,O
2017,NYG,9.0,3,U
2017,NYJ,3.5,5,O
2017,PHI,8.5,13,O
2017,PIT,10.5,13,O
2017,SEA,10.5,9,U
2017,SF,5.0,6,O
2017,TB,8.5,5,U
2017,TEN,9.0,9,P
2017,WAS,7.5,7,U
2018,ARI,6.0,3,U
2018,ATL,9.5,7,U
2018,BAL,8.5,10,O
2018,BUF,5.5,6,O
2018,CAR,8.5,7,U
2018,CHI,7.5,12,O
2018,CIN,7.0,6,U
2018,CLE,6.0,7,O
2018,DAL,8.5,10,O
2018,DEN,7.0,6,U
2018,DET,7.5,6,U
2018,GB,10.0,6,U
2018,HOU,8.5,11,O
2018,IND,7.5,10,O
2018,JAX,9.0,5,U
2018,KC,8.5,12,O
2018,LA,10.0,13,O
2018,LAC,9.5,12,O
2018,LV,7.5,4,U
2018,MIA,6.5,7,O
2018,MIN,10.0,8,U
2018,NE,11.0,11,P
2018,NO,9.5,13,O
2018,NYG,7.0,5,U
2018,NYJ,6.0,4,U
2018,PHI,10.5,9,U
2018,PIT,10.5,9,U
2018,SEA,7.5,10,O
2018,SF,8.5,4,U
2018,TB,6.5,5,U
2018,TEN,8.0,9,O
2018,WAS,7.0,7,P
2019,ARI,5.0,5,P
2019,ATL,8.5,7,U
2019,BAL,8.5,14,O
2019,BUF,7.0,10,O
2019,CAR,8.0,5,U
2019,CHI,9.0,8,U
2019,CIN,6.0,2,U
2019,CLE,9.0,6,U
2019,DAL,9.0,8,U
2019,DEN,7.0,7,P
2019,DET,6.5,3,U
2019,GB,9.0,13,O
2019,HOU,8.5,10,O
2019,IND,7.5,7,U
2019,JAX,8.0,6,U
2019,KC,10.5,12,O
2019,LA,10.5,9,U
2019,LAC,10.0,5,U
2019,LV,6.0,7,O
2019,MIA,4.5,5,O
2019,MIN,9.0,10,O
2019,NE,11.5,12,O
2019,NO,10.5,13,O
2019,NYG,6.0,4,U
2019,NYJ,7.5,7,U
2019,PHI,10.0,9,U
2019,PIT,9.5,8,U
2019,SEA,9.0,11,O
2019,SF,8.0,13,O
2019,TB,6.5,7,O
2019,TEN,8.0,9,O
2019,WAS,6.0,3,U
2020,ARI,7.5,8,O
2020,ATL,7.5,4,U
2020,BAL,11.5,11,U
2020,BUF,9.0,13,O
2020,CAR,5.5,5,U
2020,CHI,8.0,8,P
2020,CIN,5.5,4,U
2020,CLE,8.5,11,O
2020,DAL,10.0,6,U
2020,DEN,7.5,5,U
2020,DET,7.0,5,U
2020,GB,8.5,13,O
2020,HOU,7.5,4,U
2020,IND,9.5,11,O
2020,JAX,4.5,1,U
2020,KC,11.5,14,O
2020,LA,8.5,10,O
2020,LAC,8.0,7,U
2020,LV,7.5,8,O
2020,MIA,6.0,10,O
2020,MIN,9.0,7,U
2020,NE,9.0,7,U
2020,NO,10.5,12,O
2020,NYG,6.5,6,U
2020,NYJ,6.5,2,U
2020,PHI,9.5,4,U
2020,PIT,9.5,12,O
2020,SEA,9.5,12,O
2020,SF,10.5,6,U
2020,TB,9.5,11,O
2020,TEN,8.5,11,O
2020,WAS,5.0,7,O
2021,ARI,8.5,11,O
2021,ATL,7.5,7,U
2021,BAL,10.5,8,U
2021,BUF,11.5,11,U
2021,CAR,7.5,5,U
2021,CHI,7.5,6,U
2021,CIN,6.5,10,O
2021,CLE,10.5,8,U
2021,DAL,9.0,12,O
2021,DEN,9.0,7,U
2021,DET,4.5,3,U
2021,GB,10.5,13,O
2021,HOU,4.0,4,P
2021,IND,9.0,9,P
2021,JAX,6.5,3,U
2021,KC,12.5,12,U
2021,LA,10.5,12,O
2021,LAC,9.5,9,U
2021,LV,7.5,10,O
2021,MIA,9.0,9,P
2021,MIN,9.0,8,U
2021,NE,9.5,10,O
2021,NO,9.0,9,P
2021,NYG,7.0,4,U
2021,NYJ,6.0,4,U
2021,PHI,6.5,9,O
2021,PIT,8.5,9,O
2021,SEA,9.5,7,U
2021,SF,10.5,10,U
2021,TB,12.0,13,O
2021,TEN,9.5,12,O
2021,WAS,8.5,7,U
2022,ARI,8.5,4,U
2022,ATL,4.5,7,O
2022,BAL,10.5,10,U
2022,BUF,12.0,13,O
2022,CAR,6.5,7,O
2022,CHI,5.5,3,U
2022,CIN,9.5,12,O
2022,CLE,8.0,7,U
2022,DAL,10.0,12,O
2022,DEN,10.0,5,U
2022,DET,6.5,9,O
2022,GB,11.0,8,U
2022,HOU,4.5,3,U
2022,IND,10.0,4,U
2022,JAX,6.5,9,O
2022,KC,10.5,14,O
2022,LA,10.5,5,U
2022,LAC,10.5,10,U
2022,LV,8.5,6,U
2022,MIA,9.0,9,P
2022,MIN,9.5,13,O
2022,NE,8.5,8,U
2022,NO,9.0,7,U
2022,NYG,7.0,9,O
2022,NYJ,5.5,7,O
2022,PHI,10.0,14,O
2022,PIT,7.5,9,O
2022,SEA,5.5,9,O
2022,SF,10.0,13,O
2022,TB,11.0,8,U
2022,TEN,9.0,7,U
2022,WAS,8.5,8,U
2023,ARI,4.5,4,U
2023,ATL,8.5,7,U
2023,BAL,10.0,13,O
2023,BUF,10.5,11,O
2023,CAR,7.5,2,U
2023,CHI,7.5,7,U
2023,CIN,11.0,9,U
2023,CLE,9.0,11,O
2023,DAL,10.0,12,O
2023,DEN,8.5,8,U
2023,DET,9.5,12,O
2023,GB,7.5,9,O
2023,HOU,6.5,10,O
2023,IND,6.5,9,O
2023,JAX,9.5,9,U
2023,KC,11.5,11,U
2023,LA,6.5,10,O
2023,LAC,9.5,5,U
2023,LV,6.5,8,O
2023,MIA,9.5,11,O
2023,MIN,8.5,7,U
2023,NE,7.5,4,U
2023,NO,9.5,9,U
2023,NYG,7.5,6,U
2023,NYJ,9.5,7,U
2023,PHI,11.5,11,U
2023,PIT,9.0,10,O
2023,SEA,9.0,9,P
2023,SF,11.0,12,O
2023,TB,6.0,9,O
2023,TEN,7.5,6,U
2023,WAS,6.5,4,U
2024,ARI,7.0,8,O
2024,ATL,9.5,8,U
2024,BAL,10.5,12,O
2024,BUF,10.0,13,O
2024,CAR,5.5,5,U
2024,CHI,8.5,5,U
2024,CIN,10.5,9,U
2024,CLE,8.5,3,U
2024,DAL,10.0,7,U
2024,DEN,5.5,10,O
2024,DET,10.5,15,O
2024,GB,10.0,11,O
2024,HOU,9.5,10,O
2024,IND,8.5,8,U
2024,JAX,8.5,4,U
2024,KC,11.5,15,O
2024,LA,8.5,10,O
2024,LAC,9.0,11,O
2024,LV,6.5,4,U
2024,MIA,10.0,8,U
2024,MIN,6.5,14,O
2024,NE,4.5,4,U
2024,NO,7.5,5,U
2024,NYG,6.5,3,U
2024,NYJ,9.5,5,U
2024,PHI,10.5,14,O
2024,PIT,8.0,10,O
2024,SEA,7.5,10,O
2024,SF,11.5,6,U
2024,TB,7.5,10,O
2024,TEN,6.5,3,U
2024,WAS,6.5,12,O
2025,ARI,8.5,3,U
2025,ATL,8.5,8,U
2025,BAL,11.5,8,U
2025,BUF,12.5,12,U
2025,CAR,6.5,8,O
2025,CHI,8.5,11,O
2025,CIN,9.5,6,U
2025,CLE,4.5,5,O
2025,DAL,7.5,7,U
2025,DEN,9.5,14,O
2025,DET,10.5,9,U
2025,GB,10.5,9,U
2025,HOU,9.5,12,O
2025,IND,7.5,8,O
2025,JAX,7.5,13,O
2025,KC,11.5,6,U
2025,LA,9.5,12,O
2025,LAC,9.5,11,O
2025,LV,6.5,3,U
2025,MIA,7.5,7,U
2025,MIN,9.5,9,U
2025,NE,8.5,14,O
2025,NO,4.5,6,O
2025,NYG,5.5,5,U
2025,NYJ,6.5,3,U
2025,PHI,11.5,11,U
2025,PIT,8.5,10,O
2025,SEA,8.5,14,O
